id,student,teacher,kind,confidence,period,notes
edge:robert-mustard+tsutomu-chida,"Robert Mustard","Tsutomu Chida",direct-student,stated,,"Wikipedia infobox: teacher of Robert Mustard"
edge:seiichi-sugano+kisshomaru-ueshiba,"Seiichi Sugano","Kisshomaru Ueshiba",direct-student,stated,,"Wikipedia infobox: teacher of Seiichi Sugano"
edge:seiichi-sugano+koichi-tohei,"Seiichi Sugano","Koichi Tohei",uchi-deshi,inferred,1957-1965,"inferred from co-presence at dojo:aikikai-hombu-dojo (1957-1965)"
edge:seiichi-sugano+morihei-ueshiba,"Seiichi Sugano","Morihei Ueshiba",uchi-deshi,stated,1957-1965,"inferred from co-presence at dojo:aikikai-hombu-dojo (1957-1965)"
edge:shoji-nishio+kyuzo-mifune,"Shoji Nishio","Kyuzo Mifune",direct-student,stated,,"Wikipedia infobox: teacher of Shoji Nishio"
edge:shoji-nishio+morihei-ueshiba,"Shoji Nishio","Morihei Ueshiba",direct-student,stated,,"Wikipedia infobox: teacher of Shoji Nishio"
edge:shoji-nishio+yasuhiro-konishi,"Shoji Nishio","Yasuhiro Konishi",direct-student,stated,,"Wikipedia infobox: teacher of Shoji Nishio"
edge:suga+nobuyoshi-tamura,Suga,"Nobuyoshi Tamura",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:tadashi-abe+morihei-ueshiba,"Tadashi Abe","Morihei Ueshiba",direct-student,stated,,"Wikipedia infobox: teacher of Tadashi Abe"
edge:takashi-kushida+gozo-shioda,"Takashi Kushida","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:terada+gozo-shioda,Terada,"Gozo Shioda",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:terada-kiyoyuki+gozo-shioda,"Terada Kiyoyuki","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:thomas-h-makiyama+gozo-shioda,"Thomas H. Makiyama","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:tomita+bansen-tanaka,Tomita,"Bansen Tanaka",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:toshiro-suga+nobuyoshi-tamura,"Toshiro Suga","Nobuyoshi Tamura",direct-student,stated,,"Wikipedia infobox: notable students of Nobuyoshi Tamura"
edge:tsuneo-ando+gozo-shioda,"Tsuneo Ando","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:tsutomu-chida+gozo-shioda,"Tsutomu Chida","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:vural+nobuyoshi-tamura,Vural,"Nobuyoshi Tamura",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:william-gleason+mitsugi-saotome,"William Gleason","Mitsugi Saotome",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:yasuhisa-shioda+gozo-shioda,"Yasuhisa Shioda","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:yoshimitsu-yamada+koichi-tohei,"Yoshimitsu Yamada","Koichi Tohei",uchi-deshi,inferred,1955-1964,"inferred from co-presence at dojo:aikikai-hombu-dojo (1955-1964)"
edge:yoshimitsu-yamada+morihei-ueshiba,"Yoshimitsu Yamada","Morihei Ueshiba",uchi-deshi,stated,1955-1964,"inferred from co-presence at dojo:aikikai-hombu-dojo (1955-1964)"
edge:yoshimitsu-yamada+tadashi-abe,"Yoshimitsu Yamada","Tadashi Abe",direct-student,stated,,"Wikipedia infobox: teacher of Yoshimitsu Yamada"
edge:yoshio-sugino+kano-jigoro,"Yoshio Sugino","Kano Jigoro",direct-student,stated,,"Wikipedia infobox: teacher of Yoshio Sugino"
edge:yoshio-sugino+kunisaburo-iizuka,"Yoshio Sugino","Kunisaburo Iizuka",direct-student,stated,,"Wikipedia infobox: teacher of Yoshio Sugino"
edge:yoshio-sugino+morihei-ueshiba,"Yoshio Sugino","Morihei Ueshiba",direct-student,stated,,"Wikipedia infobox: teacher of Yoshio Sugino"
